film_id,category_id,title,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating
1,11,AFFAIR PREJUDICE,2010,1,5,2.99,117,26.99,G
2,11,AIRPORT POLLOCK,2016,6,6,4.99,54,15.99,R
3,11,ALABAMA DEVIL,2011,3,3,2.99,114,21.99,PG-13
4,11,ALI FOREVER,2008,1,4,4.99,150,21.99,PG
5,16,BASIC EASY,2007,3,4,2.99,90,18.99,PG-13
6,1,CAMPUS REMEMBER,2014,3,5,2.99,167,27.99,R
7,15,CARIBBEAN LIBERTY,2015,5,3,4.99,92,16.99,NC-17
8,2,CAROL TEXAS,2006,2,4,2.99,151,15.99,PG
9,1,CASUALTIES ENCINO,2013,1,3,4.99,179,16.99,G
10,9,CATCH AMISTAD,2016,5,7,0.99,183,10.99,G
11,6,DELIVERANCE MULHOLLAND,2006,4,4,0.99,100,9.99,R
12,16,DESPERATE TRAINSPOTTING,2013,3,7,4.99,81,29.99,G
13,4,DETECTIVE VISION,2013,5,4,0.99,143,16.99,PG-13
14,7,DIARY PANIC,2016,2,7,2.99,107,20.99,G
15,8,EFFECT GLADIATOR,2013,3,6,0.99,107,14.99,PG
16,6,EGG IGBY,2012,1,4,2.99,67,20.99,PG
17,12,ELF MURDER,2007,2,4,4.99,155,19.99,NC-17
18,16,ENOUGH RAGING,2006,1,7,2.99,158,16.99,NC-17
19,15,EVOLUTION ALTER,2008,3,5,0.99,174,10.99,PG-13
20,10,FEATHERS METAL,2008,1,3,0.99,104,12.99,PG-13
21,8,GABLES METROPOLIS,2013,5,3,0.99,161,17.99,PG
22,16,GAMES BOWFINGER,2007,2,7,4.99,119,17.99,PG-13
23,9,GENTLEMEN STAGE,2009,2,6,2.99,125,22.99,NC-17
24,7,GOLDFINGER SENSIBILITY,2009,4,3,0.99,93,29.99,G
25,3,HALL CASSIDY,2010,2,5,4.99,51,13.99,NC-17
26,7,HANGING DEEP,2014,1,5,4.99,62,18.99,G
27,12,IMPACT ALADDIN,2011,4,6,0.99,180,20.99,PG-13
28,9,IMPOSSIBLE PREJUDICE,2013,5,7,4.99,103,11.99,NC-17
29,9,INNOCENT USUAL,2012,6,3,4.99,178,26.99,PG-13
30,15,INSTINCT AIRPORT,2011,6,4,2.99,116,21.99,PG
31,9,INTRIGUE WORST,2007,1,6,0.99,181,10.99,G
32,4,IRON MOON,2010,4,7,4.99,46,27.99,PG
33,8,JASON TRAP,2013,6,5,2.99,130,9.99,NC-17
34,5,JAWS HARRY,2016,4,4,2.99,112,10.99,G
35,4,JEOPARDY ENCINO,2012,4,3,0.99,102,12.99,R
36,10,JERICHO MULAN,2015,4,3,2.99,171,29.99,NC-17
37,2,JUGGLER HARDLY,2012,6,4,0.99,54,14.99,PG-13
38,11,KENTUCKIAN GIANT,2012,3,5,2.99,169,10.99,PG
39,16,KICK SAVANNAH,2006,2,3,0.99,179,10.99,PG-13
40,8,KING EVOLUTION,2016,2,3,4.99,184,24.99,NC-17
41,9,KISS GLORY,2013,4,5,4.99,163,11.99,PG-13
42,3,LABYRINTH LEAGUE,2009,6,6,2.99,46,24.99,PG-13
43,11,LADY STAGE,2007,4,4,4.99,67,14.99,PG
44,15,LIBERTY MAGNIFICENT,2012,5,3,2.99,138,27.99,G
45,14,LICENSE WEEKEND,2015,3,7,2.99,91,28.99,NC-17
46,4,LIGHTS DEER,2007,1,7,0.99,174,21.99,R
47,8,LOLITA WORLD,2012,6,4,2.99,155,25.99,NC-17
48,9,LOSE INCH,2015,6,3,0.99,137,18.99,R
49,10,MALTESE HOPE,2006,6,6,4.99,127,26.99,PG-13
50,13,MANNEQUIN WORST,2016,6,3,2.99,71,18.99,PG-13
51,3,NOON PAPI,2009,6,5,2.99,57,12.99,G
52,16,ORDER BETRAYED,2012,5,7,2.99,120,13.99,PG-13
53,11,PARIS WEEKEND,2013,2,7,2.99,121,19.99,PG-13
54,6,QUILLS BULL,2012,4,4,4.99,112,19.99,R
55,14,RAGING AIRPLANE,2011,6,4,4.99,154,18.99,R
56,6,RAIDERS ANTITRUST,2016,6,4,0.99,82,11.99,PG-13
57,1,REAR TRADING,2008,6,6,0.99,97,23.99,NC-17
58,15,RECORDS ZORRO,2008,6,7,4.99,182,11.99,PG
59,4,REQUIEM TYCOON,2014,3,6,4.99,167,25.99,R
60,13,SALUTE APOLLO,2008,2,4,2.99,73,29.99,R
61,13,SAMURAI LION,2013,6,5,2.99,110,21.99,G
62,10,SASSY PACKER,2013,1,6,0.99,154,29.99,G
63,7,SEA VIRGIN,2008,6,4,2.99,80,24.99,PG
64,5,SEARCHERS WAIT,2007,6,3,2.99,182,22.99,NC-17
65,11,TARZAN VIDEOTAPE,2008,3,3,2.99,91,11.99,PG-13
66,11,TEMPLE ATTRACTION,2011,2,5,4.99,71,13.99,PG
67,10,VANILLA DAY,2012,1,7,4.99,122,20.99,NC-17
68,13,VARSITY TRIP,2014,1,7,2.99,85,14.99,NC-17
69,5,VERTIGO NORTHWEST,2010,3,4,2.99,90,17.99,R
70,6,VIRGINIAN PLUTO,2016,6,5,0.99,164,22.99,R
71,2,WAIT CIDER,2015,3,3,0.99,112,9.99,PG-13
72,13,WAKE JAWS,2012,4,7,4.99,73,18.99,G
73,12,YOUTH KICK,2015,6,4,0.99,179,14.99,NC-17
74,8,AFRICAN EGG,2007,1,6,2.99,130,22.99,G
75,4,ALICE FANTASIA,2006,3,6,0.99,94,23.99,NC-17
76,1,ANTITRUST TOMATOES,2008,2,5,2.99,168,11.99,NC-17
77,1,BAREFOOT MANCHURIAN,2015,6,6,2.99,129,15.99,G
78,4,CANDIDATE PERDITION,2013,5,4,2.99,70,10.99,R
79,16,CASABLANCA SUPER,2010,4,6,4.99,85,22.99,G
80,3,CASPER DRAGONFLY,2014,5,3,4.99,163,16.99,PG-13
81,16,CASSIDY WYOMING,2011,4,5,2.99,61,19.99,NC-17
82,1,CELEBRITY HORN,2010,6,7,0.99,110,24.99,PG-13
83,7,DESTINATION JERK,2006,2,3,0.99,76,19.99,PG-13
84,13,DESTINY SATURDAY,2014,6,4,4.99,56,20.99,G
85,11,ELEPHANT TROJAN,2006,1,4,4.99,126,24.99,PG-13
86,7,ENCOUNTERS CURTAIN,2015,6,5,0.99,92,20.99,NC-17
87,10,FANTASIA PARK,2016,3,5,2.99,131,29.99,G
88,10,GATHERING CALENDAR,2012,5,4,0.99,176,22.99,PG-13
89,3,GHOST GROUNDHOG,2011,2,6,4.99,85,18.99,G
90,14,GOLDMINE TYCOON,2014,5,6,0.99,153,20.99,R
91,7,GONE TROUBLE,2009,4,7,2.99,84,20.99,R
92,1,GOSFORD DONNIE,2011,1,5,4.99,129,17.99,G
93,6,HALLOWEEN NUTS,2011,1,6,2.99,47,19.99,PG-13
94,12,HANOVER GALAXY,2015,5,5,4.99,47,21.99,NC-17
95,2,HARPER DYING,2006,3,3,0.99,52,15.99,G
96,5,HATE HANDICAP,2014,2,4,0.99,107,26.99,PG
97,15,IMAGE PRINCESS,2013,5,3,2.99,178,17.99,PG-13
98,12,INSIDER ARIZONA,2016,4,5,2.99,78,17.99,NC-17
